-16.88,-17.133,-17.379,-17.607,-17.809,-17.98,-18.114,-18.207,-18.258,-18.266,-18.23,-18.151,-18.03,-17.872,-17.68,-17.459,-17.219,-16.968,-16.716,-16.475,-16.258,-16.075,-15.936,-15.849,-15.82,-15.849,-15.936,-16.075,-16.258,-16.475,-16.716,-16.968,-17.219,-17.459,-17.68,-17.872,-18.03,-18.151,-18.23,-18.266,-18.258,-18.207,-18.114,-17.98,-17.809,-17.607,-17.379,-17.133
-16.744,-16.98,-17.209,-17.421,-17.609,-17.766,-17.889,-17.974,-18.021,-18.028,-17.995,-17.923,-17.812,-17.666,-17.489,-17.284,-17.061,-16.826,-16.589,-16.363,-16.158,-15.985,-15.853,-15.771,-15.743,-15.771,-15.853,-15.985,-16.158,-16.363,-16.589,-16.826,-17.061,-17.284,-17.489,-17.666,-17.812,-17.923,-17.995,-18.028,-18.021,-17.974,-17.889,-17.766,-17.609,-17.421,-17.209,-16.98
-16.612,-16.829,-17.037,-17.229,-17.399,-17.54,-17.65,-17.726,-17.768,-17.774,-17.744,-17.68,-17.581,-17.45,-17.29,-17.106,-16.902,-16.687,-16.47,-16.261,-16.071,-15.91,-15.787,-15.711,-15.685,-15.711,-15.787,-15.91,-16.071,-16.261,-16.47,-16.687,-16.902,-17.106,-17.29,-17.45,-17.581,-17.68,-17.744,-17.774,-17.768,-17.726,-17.65,-17.54,-17.399,-17.229,-17.037,-16.829
-16.491,-16.684,-16.869,-17.038,-17.185,-17.308,-17.402,-17.468,-17.503,-17.509,-17.483,-17.428,-17.344,-17.231,-17.091,-16.929,-16.749,-16.558,-16.363,-16.175,-16.003,-15.857,-15.746,-15.676,-15.652,-15.676,-15.746,-15.857,-16.003,-16.175,-16.363,-16.558,-16.749,-16.929,-17.091,-17.231,-17.344,-17.428,-17.483,-17.509,-17.503,-17.468,-17.402,-17.308,-17.185,-17.038,-16.869,-16.684
-16.386,-16.552,-16.71,-16.852,-16.975,-17.076,-17.154,-17.207,-17.235,-17.239,-17.219,-17.175,-17.106,-17.013,-16.897,-16.761,-16.608,-16.444,-16.276,-16.112,-15.961,-15.832,-15.733,-15.671,-15.65,-15.671,-15.733,-15.832,-15.961,-16.112,-16.276,-16.444,-16.608,-16.761,-16.897,-17.013,-17.106,-17.175,-17.219,-17.239,-17.235,-17.207,-17.154,-17.076,-16.975,-16.852,-16.71,-16.552
-16.303,-16.439,-16.566,-16.679,-16.774,-16.852,-16.91,-16.949,-16.97,-16.973,-16.958,-16.925,-16.874,-16.803,-16.714,-16.606,-16.484,-16.351,-16.212,-16.075,-15.948,-15.839,-15.754,-15.701,-15.683,-15.701,-15.754,-15.839,-15.948,-16.075,-16.212,-16.351,-16.484,-16.606,-16.714,-16.803,-16.874,-16.925,-16.958,-16.973,-16.97,-16.949,-16.91,-16.852,-16.774,-16.679,-16.566,-16.439
-16.246,-16.349,-16.442,-16.522,-16.588,-16.64,-16.677,-16.701,-16.714,-16.716,-16.707,-16.687,-16.654,-16.608,-16.547,-16.471,-16.382,-16.282,-16.176,-16.069,-15.968,-15.88,-15.812,-15.769,-15.754,-15.769,-15.812,-15.88,-15.968,-16.069,-16.176,-16.282,-16.382,-16.471,-16.547,-16.608,-16.654,-16.687,-16.707,-16.716,-16.714,-16.701,-16.677,-16.64,-16.588,-16.522,-16.442,-16.349
-16.218,-16.285,-16.342,-16.388,-16.423,-16.447,-16.462,-16.471,-16.475,-16.475,-16.472,-16.466,-16.453,-16.432,-16.402,-16.36,-16.306,-16.242,-16.17,-16.095,-16.022,-15.957,-15.907,-15.874,-15.863,-15.874,-15.907,-15.957,-16.022,-16.095,-16.17,-16.242,-16.306,-16.36,-16.402,-16.432,-16.453,-16.466,-16.472,-16.475,-16.475,-16.471,-16.462,-16.447,-16.423,-16.388,-16.342,-16.285
-16.219,-16.25,-16.27,-16.281,-16.282,-16.278,-16.27,-16.263,-16.258,-16.257,-16.261,-16.268,-16.276,-16.281,-16.282,-16.275,-16.258,-16.231,-16.195,-16.154,-16.11,-16.07,-16.037,-16.016,-16.008,-16.016,-16.037,-16.07,-16.11,-16.154,-16.195,-16.231,-16.258,-16.275,-16.282,-16.281,-16.276,-16.268,-16.261,-16.257,-16.258,-16.263,-16.27,-16.278,-16.282,-16.281,-16.27,-16.25
-16.252,-16.245,-16.228,-16.202,-16.171,-16.138,-16.107,-16.083,-16.069,-16.067,-16.077,-16.098,-16.127,-16.159,-16.192,-16.22,-16.24,-16.251,-16.252,-16.244,-16.231,-16.216,-16.201,-16.191,-16.188,-16.191,-16.201,-16.216,-16.231,-16.244,-16.252,-16.251,-16.24,-16.22,-16.192,-16.159,-16.127,-16.098,-16.077,-16.067,-16.069,-16.083,-16.107,-16.138,-16.171,-16.202,-16.228,-16.245
